Crypto,Date,Open,High,Low,Close
BTC,12/31/19,7254.0,7309.0,7132.0,7171.0
BTC,12/30/19,7402.0,7430.0,7217.0,7254.0
BTC,12/29/19,7334.0,7529.0,7295.0,7402.0
BTC,12/28/19,7235.0,7359.0,7235.0,7334.0
BTC,12/27/19,7208.0,7267.0,7087.0,7235.0
BTC,12/26/19,7218.0,7437.0,7179.0,7208.0
BTC,12/25/19,7255.0,7268.0,7130.0,7214.0
BTC,12/24/19,7328.0,7417.0,7168.0,7255.0
BTC,12/23/19,7420.0,7696.0,7302.0,7328.0
BTC,12/22/19,7145.0,7463.0,7138.0,7420.0
BTC,12/21/19,7209.0,7215.0,7128.0,7147.0
BTC,12/20/19,7169.0,7225.0,7094.0,7209.0
BTC,12/19/19,7144.0,7447.0,7065.0,7170.0
BTC,12/18/19,6633.0,7222.0,6459.0,7143.0
BTC,12/17/19,6892.0,6944.0,6602.0,6632.0
BTC,12/16/19,7133.0,7152.0,6856.0,6892.0
BTC,12/15/19,7092.0,7177.0,7027.0,7133.0
BTC,12/14/19,7252.0,7274.0,7022.0,7092.0
BTC,12/13/19,7212.0,7300.0,7195.0,7252.0
BTC,12/12/19,7204.0,7299.0,7103.0,7212.0
BTC,12/11/19,7234.0,7276.0,7151.0,7202.0
BTC,12/10/19,7371.0,7396.0,7191.0,7234.0
BTC,12/9/19,7564.0,7665.0,7304.0,7375.0
BTC,12/8/19,7510.0,7585.0,7409.0,7564.0
BTC,12/7/19,7484.0,7617.0,7484.0,7510.0
BTC,12/6/19,7390.0,7619.0,7335.0,7484.0
BTC,12/5/19,7194.0,7485.0,7177.0,7390.0
BTC,12/4/19,7342.0,7740.0,7111.0,7194.0
BTC,12/3/19,7331.0,7420.0,7260.0,7342.0
BTC,12/2/19,7393.0,7464.0,7193.0,7331.0
BTC,12/1/19,7560.0,7581.0,7257.0,7393.0
BTC,11/30/19,7721.0,7812.0,7486.0,7559.0
BTC,11/29/19,7578.0,7854.0,7393.0,7725.0
BTC,11/28/19,7558.0,7661.0,7436.0,7578.0
BTC,11/27/19,7124.0,7661.0,6872.0,7559.0
BTC,11/26/19,7236.0,7348.0,7054.0,7129.0
