Crypto,Date,Open,High,Low,Close
ETH,12/31/21,3736.59,3812.67,3622.51,3687.67
ETH,12/30/21,3725.6,3768.63,3590.0,3733.98
ETH,12/29/21,3809.14,3827.01,3700.0,3724.98
ETH,12/28/21,4061.29,4075.97,3765.23,3807.82
ETH,12/27/21,4086.36,4128.28,4037.0,4061.3
ETH,12/26/21,4121.49,4121.93,4006.78,4087.98
ETH,12/25/21,4067.0,4138.22,4026.9,4121.52
ETH,12/24/21,4116.99,4135.98,4045.72,4067.43
ETH,12/23/21,4015.5,4150.48,3896.0,4112.67
ETH,12/22/21,4026.35,4074.63,3944.39,4015.75
ETH,12/21/21,3920.0,4062.6,3896.18,4023.92
ETH,12/20/21,3919.7,3991.66,3757.6,3914.36
ETH,12/19/21,3977.24,4027.91,3891.99,3922.25
ETH,12/18/21,3906.61,3991.34,3769.79,3976.42
ETH,12/17/21,4030.84,4030.84,3706.36,3913.17
ETH,12/16/21,4064.76,4112.32,3981.25,4030.84
ETH,12/15/21,3852.13,4092.42,3655.42,4066.0
ETH,12/14/21,3770.65,3881.71,3689.01,3854.24
ETH,12/13/21,4124.25,4170.3,3672.83,3770.01
ETH,12/12/21,4030.71,4175.3,3990.01,4122.34
ETH,12/11/21,4000.37,4097.91,3838.01,4022.39
ETH,12/10/21,4165.55,4228.97,3936.02,3999.61
ETH,12/9/21,4418.54,4486.63,4075.96,4167.7
ETH,12/8/21,4292.42,4454.4,4234.92,4418.54
ETH,12/7/21,4335.07,4426.89,4270.01,4292.32
ETH,12/6/21,4150.43,4352.68,3925.69,4324.65
ETH,12/5/21,4065.98,4250.76,4040.11,4153.22
ETH,12/4/21,4207.42,4251.1,3521.01,4066.1
ETH,12/3/21,4546.81,4656.95,4053.03,4218.61
ETH,12/2/21,4569.99,4633.66,4437.1,4545.44
ETH,12/1/21,4627.41,4778.67,4539.47,4569.99
ETH,11/30/21,4453.01,4747.85,4352.23,4627.16
ETH,11/29/21,4260.4,4460.4,4223.17,4453.8
ETH,11/28/21,4080.89,4258.78,3971.17,4256.95
ETH,11/27/21,4073.9,4184.99,4031.71,4080.89
ETH,11/26/21,4500.31,4552.35,3924.3,4078.31
ETH,11/25/21,4257.58,4530.85,4240.63,4500.0
ETH,11/24/21,4353.67,4371.83,4170.08,4257.24
ETH,11/23/21,4079.99,4385.99,4068.57,4351.45
ETH,11/22/21,4366.0,4370.41,4026.22,4078.51
ETH,11/21/21,4433.53,4438.13,4308.1,4369.45
ETH,11/20/21,4284.06,4433.39,4212.18,4433.39
ETH,11/19/21,4023.62,4309.9,3960.01,4279.0
ETH,11/18/21,4253.17,4343.0,3958.99,4022.41
ETH,11/17/21,4257.54,4298.99,4069.91,4253.17
ETH,11/16/21,4571.8,4586.86,4124.77,4257.79
ETH,11/15/21,4576.79,4768.63,4544.62,4572.81
ETH,11/14/21,4653.33,4690.73,4520.0,4576.79
ETH,11/13/21,4655.93,4704.8,4589.1,4652.4
ETH,11/12/21,4743.69,4804.99,4510.0,4655.12
ETH,11/11/21,4543.57,4779.81,4534.19,4743.2
ETH,11/10/21,4800.0,4865.81,4507.16,4557.49
ETH,11/9/21,4774.43,4838.98,4715.51,4800.0
ETH,11/8/21,4629.0,4794.99,4595.0,4773.85
ETH,11/7/21,4487.09,4638.08,4487.09,4629.0
ETH,11/6/21,4454.25,4517.77,4334.0,4488.09
ETH,11/5/21,4516.57,4573.66,4450.01,4453.68
ETH,11/4/21,4618.01,4626.85,4423.32,4517.22
ETH,11/3/21,4504.17,4665.02,4459.9,4618.0
ETH,11/2/21,4313.35,4532.4,4279.91,4505.48
ETH,11/1/21,4269.51,4379.69,4160.0,4310.99
ETH,10/31/21,4311.4,4394.0,4171.6,4269.5
ETH,10/30/21,4403.43,4433.17,4250.11,4311.57
