Crypto,Date,Open,High,Low,Close
LTC,12/31/22,67.78,71.04,67.56,70.29
LTC,12/30/22,66.08,68.57,66.04,67.78
LTC,12/29/22,66.39,67.16,65.58,66.08
LTC,12/28/22,68.08,69.37,66.09,66.42
LTC,12/27/22,69.92,71.03,67.8,68.08
LTC,12/26/22,68.01,70.94,67.9,69.92
LTC,12/25/22,65.7,68.34,65.35,68.02
LTC,12/24/22,65.8,65.98,65.13,65.7
LTC,12/23/22,65.58,66.64,65.02,65.8
LTC,12/22/22,65.58,66.64,64.32,65.58
LTC,12/21/22,65.43,66.75,64.62,65.58
LTC,12/20/22,63.02,65.98,61.1,65.4
LTC,12/19/22,64.38,65.13,61.67,63.02
LTC,12/18/22,63.83,65.89,63.16,64.38
LTC,12/17/22,67.72,67.89,62.79,63.9
LTC,12/16/22,72.66,73.53,66.8,67.72
LTC,12/15/22,75.52,75.61,72.11,72.63
LTC,12/14/22,77.68,79.06,74.39,75.52
LTC,12/13/22,76.35,79.8,74.43,77.68
LTC,12/12/22,77.35,77.52,73.59,76.43
LTC,12/11/22,76.35,78.38,76.15,77.37
LTC,12/10/22,76.21,77.36,75.8,76.36
LTC,12/9/22,77.62,78.73,75.88,76.23
LTC,12/8/22,76.86,77.69,74.65,77.51
LTC,12/7/22,78.76,80.33,75.9,76.86
LTC,12/6/22,80.03,81.68,77.75,78.78
LTC,12/5/22,76.75,84.56,76.68,80.03
LTC,12/4/22,76.12,77.24,75.56,76.75
LTC,12/3/22,77.32,78.07,75.71,76.11
LTC,12/2/22,77.88,78.43,75.5,77.35
LTC,12/1/22,78.48,80.43,76.38,77.88
LTC,11/30/22,76.77,80.6,75.59,78.48
LTC,11/29/22,73.23,77.75,72.7,76.6
LTC,11/28/22,75.81,76.2,70.59,73.23
LTC,11/27/22,76.75,79.12,74.64,75.81
LTC,11/26/22,74.63,79.51,73.38,76.75
LTC,11/25/22,77.69,79.18,73.86,74.63
LTC,11/24/22,78.44,79.71,75.4,77.69
LTC,11/23/22,68.99,83.34,68.99,78.44
LTC,11/22/22,60.27,70.86,60.22,69.09
LTC,11/21/22,60.79,63.31,59.34,60.28
LTC,11/20/22,63.45,64.69,60.69,60.79
LTC,11/19/22,62.82,64.37,61.29,63.45
LTC,11/18/22,62.16,63.75,61.5,62.75
LTC,11/17/22,57.07,63.21,56.79,62.17
LTC,11/16/22,57.8,60.04,56.66,57.06
LTC,11/15/22,55.33,59.46,55.29,57.8
LTC,11/14/22,56.91,59.03,53.4,55.33
LTC,11/13/22,60.34,60.4,56.25,56.92
LTC,11/12/22,60.15,61.56,58.19,60.34
LTC,11/11/22,59.49,63.98,58.65,60.15
LTC,11/10/22,49.25,60.81,48.67,59.53
LTC,11/9/22,57.17,59.66,47.57,49.15
LTC,11/8/22,68.75,68.75,54.26,57.4
LTC,11/7/22,69.38,72.89,67.6,68.75
LTC,11/6/22,70.24,70.79,68.21,69.38
LTC,11/5/22,68.07,71.75,67.14,70.24
LTC,11/4/22,62.01,70.04,61.57,68.09
LTC,11/3/22,59.13,64.65,59.02,62.01
LTC,11/2/22,55.08,62.4,54.69,59.13
LTC,11/1/22,54.92,55.87,54.51,55.08
LTC,10/31/22,55.81,56.36,54.06,54.92
LTC,10/30/22,56.85,57.47,55.23,55.81
LTC,10/29/22,55.19,57.52,54.72,56.85
LTC,10/28/22,55.09,55.52,53.58,55.19
LTC,10/27/22,56.09,56.7,54.59,55.09
LTC,10/26/22,56.03,57.56,55.56,56.09
LTC,10/25/22,52.65,56.81,52.32,56.03
LTC,10/24/22,53.17,54.22,52.15,52.65
LTC,10/23/22,52.47,53.42,51.87,53.17
LTC,10/22/22,51.59,52.48,51.41,52.48
LTC,10/21/22,51.06,51.82,49.6,51.59
LTC,10/20/22,51.56,52.08,50.59,51.06
LTC,10/19/22,51.78,52.0,51.08,51.56
LTC,10/18/22,51.72,52.2,50.78,51.73
LTC,10/17/22,51.45,52.14,50.91,51.72
LTC,10/16/22,50.82,51.76,50.29,51.45
LTC,10/15/22,51.34,51.65,50.62,50.82
LTC,10/14/22,51.49,52.65,50.91,51.35
LTC,10/13/22,52.2,52.49,48.45,51.51
LTC,10/12/22,51.99,52.93,51.58,52.2
LTC,10/11/22,53.24,53.31,51.32,51.99
LTC,10/10/22,53.64,54.44,52.66,53.24
LTC,10/9/22,52.97,53.8,52.47,53.64
LTC,10/8/22,52.92,53.52,52.75,52.97
LTC,10/7/22,53.87,53.87,52.34,52.9
LTC,10/6/22,54.22,55.06,53.71,53.87
LTC,10/5/22,55.52,55.61,53.36,54.22
LTC,10/4/22,53.9,55.7,53.61,55.52
LTC,10/3/22,52.64,53.97,51.53,53.9
LTC,10/2/22,52.7,53.42,52.1,52.64
LTC,10/1/22,53.43,53.78,52.54,52.7
LTC,9/30/22,53.85,55.1,53.1,53.43
LTC,9/29/22,53.47,54.06,52.33,53.85
LTC,9/28/22,52.51,53.79,51.12,53.49
LTC,9/27/22,53.08,55.44,51.82,52.51
LTC,9/26/22,53.53,53.63,51.95,53.08
LTC,9/25/22,55.12,55.13,53.07,53.51
LTC,9/24/22,54.12,55.88,53.98,55.12
LTC,9/23/22,53.2,54.7,51.45,54.11
LTC,9/22/22,52.98,54.03,50.28,53.2
LTC,9/21/22,52.33,55.46,50.98,52.98
LTC,9/20/22,52.26,53.89,50.94,52.34
LTC,9/19/22,56.22,56.26,50.25,52.26
LTC,9/18/22,58.24,58.27,55.63,56.22
LTC,9/17/22,55.92,58.37,55.56,58.24
LTC,9/16/22,57.09,57.09,54.7,55.92
LTC,9/15/22,59.56,60.77,56.33,57.09
LTC,9/14/22,59.33,61.03,58.27,59.56
LTC,9/13/22,61.41,67.36,59.0,59.33
LTC,9/12/22,62.79,63.2,60.15,61.41
LTC,9/11/22,63.6,64.37,61.89,62.79
LTC,9/10/22,60.87,64.67,60.43,63.6
LTC,9/9/22,58.33,61.84,57.75,60.87
LTC,9/8/22,57.01,58.65,56.12,58.33
LTC,9/7/22,54.98,57.25,52.98,57.01
LTC,9/6/22,60.23,62.68,54.23,54.95
LTC,9/5/22,60.22,61.52,59.36,60.23
LTC,9/4/22,61.2,61.29,58.67,60.22
LTC,9/3/22,61.65,62.2,59.65,61.2
LTC,9/2/22,57.4,62.29,56.55,61.61
LTC,9/1/22,54.73,57.46,53.25,57.4
LTC,8/31/22,53.69,55.24,52.83,54.73
LTC,8/30/22,55.41,56.19,51.9,53.65
LTC,8/29/22,55.08,56.69,52.56,55.41
LTC,8/28/22,52.91,55.87,52.49,55.08
LTC,8/27/22,54.05,54.29,51.7,52.91
LTC,8/26/22,57.2,58.22,53.17,54.05
LTC,8/25/22,57.32,57.49,55.91,57.2
LTC,8/24/22,57.06,57.61,55.61,57.35
LTC,8/23/22,56.59,57.71,53.97,57.02
LTC,8/22/22,55.43,57.36,52.35,56.59
LTC,8/21/22,52.8,55.91,52.8,55.46
LTC,8/20/22,55.39,55.6,52.74,52.94
LTC,8/19/22,61.19,61.45,54.14,55.39
LTC,8/18/22,60.9,61.65,60.01,61.19
LTC,8/17/22,61.46,64.65,59.75,60.9
LTC,8/16/22,60.79,61.7,59.74,61.46
LTC,8/15/22,63.43,65.3,60.29,60.79
LTC,8/14/22,63.83,65.78,62.9,63.43
LTC,8/13/22,62.56,65.71,61.91,63.83
LTC,8/12/22,62.7,62.72,60.71,62.56
LTC,8/11/22,61.58,63.55,61.38,62.7
LTC,8/10/22,59.2,62.29,57.61,61.58
LTC,8/9/22,63.5,63.5,58.33,59.25
LTC,8/8/22,61.81,64.17,60.84,63.5
LTC,8/7/22,61.54,61.91,59.92,61.81
LTC,8/6/22,61.32,62.53,60.53,61.51
LTC,8/5/22,59.33,62.3,58.91,61.32
LTC,8/4/22,59.46,60.53,57.38,59.33
LTC,8/3/22,58.71,60.13,56.76,59.46
LTC,8/2/22,59.0,59.81,56.69,58.68
LTC,8/1/22,62.2,62.57,58.31,58.86
LTC,7/31/22,61.77,62.95,59.98,62.2
LTC,7/30/22,61.61,63.99,60.5,61.77
LTC,7/29/22,63.35,64.54,59.86,61.66
LTC,7/28/22,58.45,64.28,58.12,63.35
LTC,7/27/22,52.73,58.92,52.59,58.45
LTC,7/26/22,56.34,56.36,52.03,52.73
LTC,7/25/22,59.41,59.73,54.91,56.34
LTC,7/24/22,55.79,59.66,55.68,59.41
LTC,7/23/22,55.75,57.19,54.49,55.79
LTC,7/22/22,58.16,59.17,55.55,55.69
LTC,7/21/22,57.08,58.62,55.26,58.16
LTC,7/20/22,58.31,61.68,56.5,57.13
LTC,7/19/22,56.59,59.51,55.89,58.31
LTC,7/18/22,55.8,59.2,55.31,56.59
LTC,7/17/22,54.27,56.29,54.27,55.8
LTC,7/16/22,52.16,54.77,51.13,54.27
LTC,7/15/22,51.04,52.68,50.62,52.08
LTC,7/14/22,48.34,51.6,47.9,51.04
LTC,7/13/22,47.71,49.36,46.44,48.34
LTC,7/12/22,50.43,50.52,47.32,47.71
LTC,7/11/22,51.57,53.07,50.12,50.43
LTC,7/10/22,53.34,54.96,50.75,51.57
LTC,7/9/22,52.01,53.71,51.13,53.34
LTC,7/8/22,51.82,53.94,50.8,52.01
LTC,7/7/22,50.31,52.08,49.77,51.81
LTC,7/6/22,50.68,50.98,48.94,50.32
LTC,7/5/22,51.25,52.38,47.96,50.68
LTC,7/4/22,51.07,51.96,49.7,51.25
LTC,7/3/22,50.47,51.23,49.16,51.07
LTC,7/2/22,51.55,51.67,49.74,50.47
LTC,7/1/22,51.02,56.09,50.06,51.55
LTC,6/30/22,53.43,54.02,50.15,51.02
LTC,6/29/22,53.23,54.3,51.34,53.43
LTC,6/28/22,55.94,56.92,52.91,53.23
LTC,6/27/22,58.78,58.78,54.83,55.94
LTC,6/26/22,58.81,60.39,57.5,58.78
LTC,6/25/22,55.46,59.32,54.66,58.81
LTC,6/24/22,55.67,57.27,54.56,55.29
LTC,6/23/22,51.56,56.09,51.55,55.67
LTC,6/22/22,53.3,54.59,50.53,51.59
LTC,6/21/22,52.78,55.63,51.51,53.3
LTC,6/20/22,55.13,55.34,51.34,52.78
LTC,6/19/22,42.39,56.14,42.39,55.1
LTC,6/18/22,47.11,48.33,41.54,42.35
LTC,6/17/22,45.71,47.66,44.05,47.11
LTC,6/16/22,48.62,51.12,44.45,45.71
LTC,6/15/22,45.03,49.35,41.64,48.64
LTC,6/14/22,44.06,45.87,40.38,45.03
LTC,6/13/22,49.91,50.3,41.2,44.14
LTC,6/12/22,52.03,53.24,48.68,50.04
LTC,6/11/22,56.91,57.75,51.67,52.03
LTC,6/10/22,60.09,60.33,55.73,56.86
LTC,6/9/22,61.97,62.35,59.35,60.09
LTC,6/8/22,65.01,65.29,61.25,61.99
LTC,6/7/22,64.0,65.41,60.22,65.0
LTC,6/6/22,63.44,66.4,62.92,64.0
LTC,6/5/22,63.26,64.25,61.69,63.44
