Crypto,Date,Open,High,Low,Close
XRP,12/31/22,0.34,0.34,0.34,0.34
XRP,12/30/22,0.34,0.35,0.33,0.34
XRP,12/29/22,0.36,0.36,0.34,0.34
XRP,12/28/22,0.37,0.37,0.35,0.36
XRP,12/27/22,0.37,0.37,0.36,0.37
XRP,12/26/22,0.35,0.37,0.35,0.37
XRP,12/25/22,0.35,0.35,0.34,0.35
XRP,12/24/22,0.35,0.35,0.35,0.35
XRP,12/23/22,0.35,0.35,0.35,0.35
XRP,12/22/22,0.35,0.35,0.34,0.35
XRP,12/21/22,0.35,0.35,0.34,0.35
XRP,12/20/22,0.34,0.35,0.34,0.35
XRP,12/19/22,0.35,0.35,0.33,0.34
XRP,12/18/22,0.35,0.35,0.35,0.35
XRP,12/17/22,0.36,0.36,0.35,0.35
XRP,12/16/22,0.38,0.38,0.36,0.36
XRP,12/15/22,0.38,0.39,0.37,0.38
XRP,12/14/22,0.39,0.4,0.38,0.38
XRP,12/13/22,0.38,0.4,0.38,0.39
XRP,12/12/22,0.38,0.39,0.37,0.38
XRP,12/11/22,0.39,0.39,0.38,0.38
XRP,12/10/22,0.39,0.39,0.39,0.39
XRP,12/9/22,0.39,0.4,0.39,0.39
XRP,12/8/22,0.38,0.39,0.38,0.39
XRP,12/7/22,0.39,0.39,0.37,0.38
XRP,12/6/22,0.39,0.39,0.38,0.39
XRP,12/5/22,0.39,0.4,0.38,0.39
XRP,12/4/22,0.39,0.39,0.39,0.39
XRP,12/3/22,0.39,0.4,0.39,0.39
XRP,12/2/22,0.4,0.4,0.38,0.39
XRP,12/1/22,0.41,0.41,0.39,0.4
XRP,11/30/22,0.4,0.41,0.39,0.41
XRP,11/29/22,0.39,0.4,0.38,0.4
XRP,11/28/22,0.4,0.4,0.37,0.39
XRP,11/27/22,0.4,0.41,0.39,0.4
XRP,11/26/22,0.41,0.41,0.4,0.4
XRP,11/25/22,0.4,0.42,0.39,0.41
XRP,11/24/22,0.38,0.4,0.37,0.4
XRP,11/23/22,0.38,0.38,0.37,0.38
XRP,11/22/22,0.36,0.38,0.35,0.38
XRP,11/21/22,0.36,0.37,0.35,0.36
XRP,11/20/22,0.38,0.4,0.36,0.36
XRP,11/19/22,0.38,0.39,0.38,0.38
XRP,11/18/22,0.38,0.39,0.37,0.38
XRP,11/17/22,0.37,0.39,0.37,0.38
XRP,11/16/22,0.39,0.39,0.36,0.37
XRP,11/15/22,0.37,0.4,0.37,0.39
XRP,11/14/22,0.34,0.38,0.32,0.37
XRP,11/13/22,0.36,0.37,0.33,0.34
XRP,11/12/22,0.38,0.39,0.36,0.36
XRP,11/11/22,0.4,0.4,0.37,0.38
XRP,11/10/22,0.33,0.4,0.32,0.4
XRP,11/9/22,0.4,0.41,0.33,0.33
XRP,11/8/22,0.47,0.47,0.34,0.41
XRP,11/7/22,0.48,0.48,0.46,0.47
XRP,11/6/22,0.5,0.5,0.48,0.48
XRP,11/5/22,0.5,0.51,0.49,0.5
XRP,11/4/22,0.46,0.51,0.45,0.5
XRP,11/3/22,0.45,0.46,0.45,0.46
XRP,11/2/22,0.46,0.47,0.45,0.45
XRP,11/1/22,0.46,0.47,0.45,0.46
XRP,10/31/22,0.46,0.46,0.45,0.46
XRP,10/30/22,0.47,0.48,0.46,0.46
XRP,10/29/22,0.47,0.48,0.47,0.47
XRP,10/28/22,0.47,0.47,0.46,0.47
XRP,10/27/22,0.47,0.48,0.46,0.47
XRP,10/26/22,0.46,0.47,0.46,0.47
XRP,10/25/22,0.46,0.47,0.44,0.46
XRP,10/24/22,0.46,0.47,0.45,0.46
XRP,10/23/22,0.46,0.47,0.45,0.46
XRP,10/22/22,0.45,0.47,0.45,0.46
XRP,10/21/22,0.44,0.45,0.44,0.45
XRP,10/20/22,0.46,0.46,0.42,0.44
XRP,10/19/22,0.47,0.47,0.45,0.46
XRP,10/18/22,0.48,0.48,0.46,0.47
XRP,10/17/22,0.48,0.48,0.46,0.48
XRP,10/16/22,0.48,0.49,0.47,0.48
XRP,10/15/22,0.49,0.49,0.48,0.48
XRP,10/14/22,0.49,0.51,0.48,0.49
XRP,10/13/22,0.49,0.49,0.44,0.49
XRP,10/12/22,0.49,0.5,0.48,0.49
XRP,10/11/22,0.52,0.52,0.48,0.49
XRP,10/10/22,0.54,0.54,0.51,0.52
XRP,10/9/22,0.52,0.55,0.51,0.54
XRP,10/8/22,0.51,0.53,0.51,0.52
XRP,10/7/22,0.5,0.53,0.48,0.51
XRP,10/6/22,0.49,0.51,0.49,0.5
XRP,10/5/22,0.48,0.5,0.47,0.49
XRP,10/4/22,0.47,0.49,0.45,0.48
XRP,10/3/22,0.46,0.47,0.44,0.47
XRP,10/2/22,0.47,0.48,0.45,0.46
XRP,10/1/22,0.48,0.49,0.47,0.47
XRP,9/30/22,0.48,0.51,0.47,0.48
XRP,9/29/22,0.44,0.48,0.43,0.48
XRP,9/28/22,0.44,0.45,0.42,0.44
XRP,9/27/22,0.47,0.49,0.44,0.44
XRP,9/26/22,0.5,0.51,0.46,0.47
XRP,9/25/22,0.5,0.52,0.48,0.5
XRP,9/24/22,0.49,0.53,0.47,0.5
XRP,9/23/22,0.48,0.56,0.46,0.49
XRP,9/22/22,0.41,0.49,0.39,0.48
XRP,9/21/22,0.4,0.43,0.39,0.41
XRP,9/20/22,0.38,0.42,0.37,0.4
XRP,9/19/22,0.39,0.39,0.34,0.38
XRP,9/18/22,0.37,0.4,0.37,0.39
XRP,9/17/22,0.35,0.38,0.34,0.37
XRP,9/16/22,0.33,0.35,0.32,0.34
XRP,9/15/22,0.34,0.34,0.33,0.33
XRP,9/14/22,0.34,0.34,0.33,0.34
XRP,9/13/22,0.36,0.36,0.33,0.34
XRP,9/12/22,0.36,0.36,0.35,0.36
XRP,9/11/22,0.36,0.36,0.35,0.36
XRP,9/10/22,0.35,0.36,0.35,0.36
XRP,9/9/22,0.34,0.36,0.34,0.35
XRP,9/8/22,0.34,0.34,0.33,0.34
XRP,9/7/22,0.32,0.34,0.31,0.34
XRP,9/6/22,0.33,0.34,0.32,0.32
XRP,9/5/22,0.33,0.33,0.32,0.33
XRP,9/4/22,0.33,0.33,0.33,0.33
XRP,9/3/22,0.33,0.33,0.33,0.33
XRP,9/2/22,0.33,0.34,0.33,0.33
XRP,9/1/22,0.33,0.33,0.32,0.33
XRP,8/31/22,0.33,0.33,0.32,0.33
XRP,8/30/22,0.33,0.34,0.32,0.33
XRP,8/29/22,0.34,0.34,0.32,0.33
XRP,8/28/22,0.33,0.34,0.33,0.34
XRP,8/27/22,0.34,0.34,0.33,0.33
XRP,8/26/22,0.35,0.37,0.33,0.34
XRP,8/25/22,0.35,0.35,0.34,0.35
XRP,8/24/22,0.35,0.35,0.34,0.35
XRP,8/23/22,0.34,0.35,0.33,0.35
XRP,8/22/22,0.35,0.35,0.33,0.34
XRP,8/21/22,0.33,0.35,0.33,0.35
XRP,8/20/22,0.34,0.34,0.33,0.33
XRP,8/19/22,0.38,0.38,0.33,0.34
XRP,8/18/22,0.38,0.38,0.37,0.38
XRP,8/17/22,0.38,0.39,0.37,0.38
XRP,8/16/22,0.37,0.38,0.37,0.38
XRP,8/15/22,0.38,0.38,0.37,0.37
XRP,8/14/22,0.38,0.39,0.37,0.38
XRP,8/13/22,0.38,0.39,0.38,0.38
XRP,8/12/22,0.38,0.38,0.37,0.38
XRP,8/11/22,0.38,0.39,0.38,0.38
XRP,8/10/22,0.37,0.38,0.36,0.38
XRP,8/9/22,0.38,0.38,0.36,0.37
XRP,8/8/22,0.38,0.38,0.37,0.38
XRP,8/7/22,0.37,0.38,0.37,0.38
XRP,8/6/22,0.37,0.38,0.37,0.37
XRP,8/5/22,0.37,0.38,0.37,0.37
XRP,8/4/22,0.38,0.38,0.36,0.37
XRP,8/3/22,0.37,0.38,0.36,0.38
XRP,8/2/22,0.38,0.39,0.37,0.38
XRP,8/1/22,0.39,0.39,0.37,0.38
XRP,7/31/22,0.39,0.4,0.38,0.39
XRP,7/30/22,0.37,0.41,0.36,0.39
XRP,7/29/22,0.38,0.38,0.36,0.37
XRP,7/28/22,0.35,0.38,0.35,0.38
XRP,7/27/22,0.33,0.36,0.33,0.35
XRP,7/26/22,0.35,0.35,0.33,0.33
XRP,7/25/22,0.36,0.36,0.34,0.35
XRP,7/24/22,0.36,0.37,0.35,0.36
XRP,7/23/22,0.36,0.36,0.35,0.36
XRP,7/22/22,0.37,0.37,0.35,0.36
XRP,7/21/22,0.36,0.37,0.35,0.37
XRP,7/20/22,0.37,0.38,0.36,0.36
XRP,7/19/22,0.36,0.37,0.35,0.37
XRP,7/18/22,0.35,0.37,0.34,0.36
XRP,7/17/22,0.35,0.36,0.34,0.35
XRP,7/16/22,0.33,0.36,0.33,0.35
XRP,7/15/22,0.33,0.35,0.33,0.33
XRP,7/14/22,0.32,0.33,0.31,0.33
XRP,7/13/22,0.31,0.32,0.3,0.32
XRP,7/12/22,0.32,0.32,0.31,0.31
XRP,7/11/22,0.33,0.33,0.32,0.32
XRP,7/10/22,0.35,0.35,0.32,0.33
XRP,7/9/22,0.35,0.35,0.34,0.35
XRP,7/8/22,0.34,0.36,0.34,0.34
XRP,7/7/22,0.33,0.34,0.33,0.34
XRP,7/6/22,0.33,0.33,0.32,0.33
XRP,7/5/22,0.32,0.33,0.31,0.33
XRP,7/4/22,0.32,0.33,0.31,0.32
XRP,7/3/22,0.31,0.33,0.31,0.32
XRP,7/2/22,0.32,0.32,0.31,0.31
XRP,7/1/22,0.32,0.33,0.31,0.32
XRP,6/30/22,0.33,0.33,0.31,0.32
XRP,6/29/22,0.34,0.34,0.32,0.33
XRP,6/28/22,0.35,0.36,0.34,0.34
